job_index,job_id,seed,horizon,model,script,output_directory,command
168,seed099_horizon01_CNN_LSTM,99,1,CNN-LSTM,seed099_horizon01_cnn_lstm.py,CNN-LSTM_seed99_horizon1,python seed099_horizon01_cnn_lstm.py
169,seed099_horizon03_STG_Informer,99,3,STG-Informer,seed099_horizon03_stg_informer.py,STG_seed99_horizon3,python seed099_horizon03_stg_informer.py
170,seed099_horizon03_G_Informer,99,3,G-Informer,seed099_horizon03_g_informer.py,G_seed99_horizon3,python seed099_horizon03_g_informer.py
171,seed099_horizon03_ST_Informer,99,3,ST-Informer,seed099_horizon03_st_informer.py,ST_seed99_horizon3,python seed099_horizon03_st_informer.py
172,seed099_horizon03_Informer,99,3,Informer,seed099_horizon03_informer.py,Informer_seed99_horizon3,python seed099_horizon03_informer.py
173,seed099_horizon03_GRU,99,3,GRU,seed099_horizon03_gru.py,GRU_seed99_horizon3,python seed099_horizon03_gru.py
174,seed099_horizon03_Transformer,99,3,Transformer,seed099_horizon03_transformer.py,Transformer_seed99_horizon3,python seed099_horizon03_transformer.py
175,seed099_horizon03_ConvLSTM,99,3,ConvLSTM,seed099_horizon03_convlstm.py,ConvLSTM_seed99_horizon3,python seed099_horizon03_convlstm.py
176,seed099_horizon03_CNN_LSTM,99,3,CNN-LSTM,seed099_horizon03_cnn_lstm.py,CNN-LSTM_seed99_horizon3,python seed099_horizon03_cnn_lstm.py
177,seed099_horizon06_STG_Informer,99,6,STG-Informer,seed099_horizon06_stg_informer.py,STG_seed99_horizon6,python seed099_horizon06_stg_informer.py
178,seed099_horizon06_G_Informer,99,6,G-Informer,seed099_horizon06_g_informer.py,G_seed99_horizon6,python seed099_horizon06_g_informer.py
179,seed099_horizon06_ST_Informer,99,6,ST-Informer,seed099_horizon06_st_informer.py,ST_seed99_horizon6,python seed099_horizon06_st_informer.py
180,seed099_horizon06_Informer,99,6,Informer,seed099_horizon06_informer.py,Informer_seed99_horizon6,python seed099_horizon06_informer.py
